job_id,domain,alpha_wu_estimate,alpha_wu_recorded,proof_quality,validator_trust,reuse_potential,user_proof_strength,capacity_leverage,safety_margin,proof_root
A004-001,AI-First Startup,142.5,142.5,0.93,0.89,0.91,0.87,0.94,0.88,0f58fd0eef904de4c96ed8144aba50df5ed76fd346affcec1acb4ed372ecd55b
A004-002,Enterprise Governance,118.2,118.2,0.91,0.92,0.86,0.84,0.86,0.92,655dec17e3848f3f467c704c65171e7d8108e1c1253844266fb82be481e8bab3
A004-003,Cyber-Defensive Organ,151.0,0.0,0.88,0.84,0.9,0.78,0.91,0.83,189158cd0ce24b323f31e42dbbf3e845908469876013ae5378f71cee56f60bdf
A004-004,Compute & Efficiency,104.0,57.2,0.87,0.79,0.84,0.71,0.95,0.74,03562202d43f0343d7520cf8e492b48109bd842b7d2f540890cf335db847da05
A004-005,Scientific / Technical Invention,111.5,0.0,0.84,0.71,0.83,0.73,0.89,0.72,0f1606db8eb39c58930f49a31e391a8c334f12deb3446c4179357840942be06b
A004-006,Agentic Work Marketplace,98.0,0.0,0.76,0.68,0.78,0.68,0.8,0.7,f8cd79f9469d5ba8e17fbfa5a0cc1bebeecdf421bc3af4f62c08565a0ed8717d
A004-007,Regular-Person Utility,64.0,64.0,0.9,0.86,0.82,0.92,0.7,0.94,7a1ffe0286356de1f86703fe35a4b6ba97c4032fe35a24960c532c95e91aed36
A004-008,Sovereign AI Operations,170.0,170.0,0.94,0.88,0.92,0.81,0.96,0.87,13e3c6a5c5457543fa1b7d2a81864188e80750554eb1b7e12bec9e472573dc4f
A004-009,Civilizational Capacity Proxies,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,845c7532328d8b7bcad84aa8413b4e3a76cc1e0dd694a06a121373923b0e1d48
A004-010,Proof-Native Engineering,78.0,0.0,0.79,0.74,0.88,0.66,0.82,0.76,ebb0c2da992960585f7ac16bb8c40435950f9a789e5055e690782b12d657910a
