validator,job_id,verdict,institutional_final_state,honest,simulated_reward,simulated_slash,trust_delta,notes
validator-alpha,A004-001,approve,settled_stress_cleared,True,22000,0,0.021,Validator honesty is evaluated against final replay + stress state.
validator-beta,A004-001,approve,settled_stress_cleared,True,22000,0,0.021,Validator honesty is evaluated against final replay + stress state.
validator-gamma,A004-001,approve,settled_stress_cleared,True,22000,0,0.021,Validator honesty is evaluated against final replay + stress state.
validator-alpha,A004-002,approve,settled_stress_cleared,True,22000,0,0.021,Validator honesty is evaluated against final replay + stress state.
validator-delta,A004-002,approve,settled_stress_cleared,True,22000,0,0.021,Validator honesty is evaluated against final replay + stress state.
validator-gamma,A004-002,approve,settled_stress_cleared,True,22000,0,0.021,Validator honesty is evaluated against final replay + stress state.
validator-alpha,A004-003,approve,locked_pending_external_replay,False,0,90000,-0.085,Validator honesty is evaluated against final replay + stress state.
validator-beta,A004-003,pending,locked_pending_external_replay,True,0,0,0.021,Validator honesty is evaluated against final replay + stress state.
validator-epsilon,A004-003,approve,locked_pending_external_replay,False,0,90000,-0.085,Validator honesty is evaluated against final replay + stress state.
validator-delta,A004-004,approve,settled_but_scale_blocked_stress_failed,False,0,90000,-0.085,Validator honesty is evaluated against final replay + stress state.
validator-gamma,A004-004,approve,settled_but_scale_blocked_stress_failed,False,0,90000,-0.085,Validator honesty is evaluated against final replay + stress state.
validator-zeta,A004-004,reject,settled_but_scale_blocked_stress_failed,True,22000,0,0.021,Validator honesty is evaluated against final replay + stress state.
validator-alpha,A004-005,approve,blocked_external_replay_failed,False,0,90000,-0.085,Validator honesty is evaluated against final replay + stress state.
validator-beta,A004-005,approve,blocked_external_replay_failed,False,0,90000,-0.085,Validator honesty is evaluated against final replay + stress state.
validator-eta,A004-005,approve,blocked_external_replay_failed,False,0,90000,-0.085,Validator honesty is evaluated against final replay + stress state.
validator-beta,A004-006,approve,rejected_claim_boundary_fail,False,0,90000,-0.085,Validator honesty is evaluated against final replay + stress state.
validator-gamma,A004-006,approve,rejected_claim_boundary_fail,False,0,90000,-0.085,Validator honesty is evaluated against final replay + stress state.
validator-zeta,A004-006,approve,rejected_claim_boundary_fail,False,0,90000,-0.085,Validator honesty is evaluated against final replay + stress state.
validator-alpha,A004-007,approve,settled_low_risk_stress_cleared,True,22000,0,0.021,Validator honesty is evaluated against final replay + stress state.
validator-beta,A004-007,approve,settled_low_risk_stress_cleared,True,22000,0,0.021,Validator honesty is evaluated against final replay + stress state.
validator-alpha,A004-008,approve,settled_stress_cleared,True,22000,0,0.021,Validator honesty is evaluated against final replay + stress state.
validator-delta,A004-008,approve,settled_stress_cleared,True,22000,0,0.021,Validator honesty is evaluated against final replay + stress state.
validator-gamma,A004-008,approve,settled_stress_cleared,True,22000,0,0.021,Validator honesty is evaluated against final replay + stress state.
validator-theta,A004-008,approve,settled_stress_cleared,True,22000,0,0.021,Validator honesty is evaluated against final replay + stress state.
validator-alpha,A004-009,pending,locked_or_rejected_not_accepted,True,0,0,0.021,Validator honesty is evaluated against final replay + stress state.
validator-delta,A004-009,pending,locked_or_rejected_not_accepted,True,0,0,0.021,Validator honesty is evaluated against final replay + stress state.
validator-beta,A004-010,approve,rejected_qa_fail,False,0,90000,-0.085,Validator honesty is evaluated against final replay + stress state.
validator-gamma,A004-010,approve,rejected_qa_fail,False,0,90000,-0.085,Validator honesty is evaluated against final replay + stress state.
