step,caller,contract,function,simulated_amount,state_change,notes
1,Treasury / Sponsor,AGIALPHA,"approve(ProofTreasuryVault,totalBudget)",10000000,simulation_only_approval,No wallet; no token movement; template only
2,Treasury / Sponsor,ProofTreasuryVault,"fundEpoch(epochId,totalBudget,policyRoot)",10000000,epoch_budget_recorded,Simulation ledger only
3,Operator,MandateEpochRegistry,"openEpoch(mandateHash,epochPolicyHash,budgetRoot)",0,epoch_opened_simulated,No chain broadcast
4,Operator,ExternalReplayMarket,"openReplayRound(epochId,replayPolicyRoot)",750000,external_replay_market_opened_simulated,Replay grants are simulation-only
5.1.1,Sponsor,JobRegistry,"postJob(missionHash,reward,evidenceURI,deadline,riskClass)",1000000,job_posted_simulated,Proof-to-Revenue Launch Wedge
5.1.2,Builder,JobClaimBondManager,"claimJob(jobId,claimBond,proofBond)",90000,builder_bond_locked_simulated,No token movement
5.1.3,Builder,ProofSubmissionRegistry,"submitProof(jobId,proofBundleHash,docketURI,alphaWUEstimate)",0,proof_submitted_simulated,PTS003-J01
5.1.4,Replay Council,ExternalReplayMarket,"submitReplayAttestation(jobId,replayVerdict,replayHash)",0,passed,External replay gate
5.1.5,Protocol,JobRegistry,"releaseReward(jobId,builder)",1000000,settled_external_replay_passed,Released only if gates pass
5.1.6,Protocol,AlphaWorkUnitLedger,"recordAlphaWorkUnits(jobId,alphaWU,proofRoot)",0,alpha_wu_recorded,380.0
5.2.1,Sponsor,JobRegistry,"postJob(missionHash,reward,evidenceURI,deadline,riskClass)",800000,job_posted_simulated,Enterprise AI Governance Docket
5.2.2,Builder,JobClaimBondManager,"claimJob(jobId,claimBond,proofBond)",80000,builder_bond_locked_simulated,No token movement
5.2.3,Builder,ProofSubmissionRegistry,"submitProof(jobId,proofBundleHash,docketURI,alphaWUEstimate)",0,proof_submitted_simulated,PTS003-J02
5.2.4,Replay Council,ExternalReplayMarket,"submitReplayAttestation(jobId,replayVerdict,replayHash)",0,passed,External replay gate
5.2.5,Protocol,JobRegistry,"releaseReward(jobId,builder)",800000,settled_external_replay_passed,Released only if gates pass
5.2.6,Protocol,AlphaWorkUnitLedger,"recordAlphaWorkUnits(jobId,alphaWU,proofRoot)",0,alpha_wu_recorded,310.0
5.3.1,Sponsor,JobRegistry,"postJob(missionHash,reward,evidenceURI,deadline,riskClass)",850000,job_posted_simulated,Cyber-Defensive Organ Evidence Docket
5.3.2,Builder,JobClaimBondManager,"claimJob(jobId,claimBond,proofBond)",100000,builder_bond_locked_simulated,No token movement
5.3.3,Builder,ProofSubmissionRegistry,"submitProof(jobId,proofBundleHash,docketURI,alphaWUEstimate)",0,proof_submitted_simulated,PTS003-J03
5.3.4,Replay Council,ExternalReplayMarket,"submitReplayAttestation(jobId,replayVerdict,replayHash)",0,pending,External replay gate
